"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
-6.92017115002095,-6.84690347723286,-6.81979137522094,-6.77442696589207,-6.67806041071099,-6.6183938881535,-6.59348958613599,-6.54981447864342,-6.53534721783487,-6.51802443773906,-6.44633910906811,-6.44682689146338,-6.40849749248932,-6.37141010867016,-6.32313165703558,-6.29133594604441,-6.26980543167095,-6.25806151473997,-6.23692441303199,-6.20630591948626,-6.16868692216436,-6.11535317117878,-5.44789438267459,-5.69297156474218,-6.09540996010442,-6.08137997545857,-6.07212627603596,-6.10476418663956,-6.11489434598405,-6.12427305960509,-6.14310652525284,-6.14687321838239,-6.17370970647646,-5.43820269311803,-4.93764126017658,-5.68848340958876,-5.68848340958876,-5.95264869141114,-4.85521955659611,-5.90328120014607,-4.8150605756849,-5.61853534878149,-6.22036375389358,-4.97613942459946,-4.9697028764466,-5.03445541450511,-5.70968262789429,-5.50935101681114,-5.12991604728366,-5.15867955180746
-6.92909318087321,-6.79493417052371,-6.7326526164966,-6.68131371218914,-6.69917264453437,-6.65783172052674,-6.61034224123478,-6.5484622803768,-6.52773775717543,-6.50624763902361,-6.41868755916436,-6.41657329473141,-6.39177536155023,-6.33117503418906,-6.29823956838342,-6.26197615371696,-6.2426433059477,-6.20438386079483,-6.16593886183647,-6.14008731255249,-5.02417272553952,-2.19111362157021,-1.58993057848214,-3.83619320337489,-3.9875006573925,-4.73920713238562,-5.69309282328298,-5.27658962518038,-6.08895829317744,-6.08693219511213,-6.1017381141883,-6.11297298021644,-5.77399665679715,-4.78861599815598,-4.79537286552712,-5.30858391542294,-6.18904484253022,-5.93990394995899,-5.4651084511205,-5.23013586614057,-4.85676699822819,-4.84424021344349,-4.84165749105909,-4.87046952236279,-5.82564936860932,-6.19149365285449,-5.67763121522431,-6.50918199139918,-6.148072069389,-5.87528034536466
-6.81940497339457,-6.79247347367713,-6.69218938353455,-6.64658673369473,-6.67368876044324,-6.63734124713912,-6.57267564561924,-6.48412567191906,-6.46232529069076,-6.44465602470664,-6.4378620459261,-6.28720983835268,-6.3754681746743,-6.28756165062819,-6.11352104077701,-6.15608149359059,-6.20057126551769,-6.15183074836105,-5.98027583397221,-0.575523513539377,6.97349316326633,13.7291170995982,14.7990721261735,12.2730767509235,6.59145603819385,-1.00302322540322,-4.47184151084195,-5.24721704538506,-6.07437972284019,-6.06842479626692,-6.07952923557405,-6.09803663441926,-6.12221135641016,-6.1132165502071,-5.99244748615091,-5.27682790801683,-6.16029146242942,-6.1871279505235,-6.19099625637438,-6.2261217055694,-6.22417029172524,-5.45710628052812,-4.83067672877061,-4.84643925898087,-4.89624548810155,-6.25761314211371,-5.76872078309108,-6.10204709081121,-5.00693283179927,-5.06273527154316
-6.83653565114374,-6.7787976953228,-6.65524951539989,-6.63039348908478,-6.67368876044324,-6.61042945092603,-6.51328841557166,-6.50812253643221,-6.47941711493375,-6.4249164531175,-6.4052075753567,-6.25542748121411,-6.2279036540309,-6.27767004571111,-6.25610419525147,-5.9665935200416,-5.88716912551979,-5.4489241733293,1.25351489252701,10.7122091156543,12.4343939905914,12.010880068297,10.8045669471395,15.5120033116507,13.3053737693131,7.27488996281174,-2.77587926629301,-5.21300683737056,-6.09668298019607,-5.14053511938395,-6.06472331649788,-6.06472331649788,-5.11200439132648,-6.08323071534309,-5.96717488541789,-5.24876145397342,-6.14687321838239,-4.91589379832421,-5.44210552080637,-6.20075332559522,-6.22241941235221,-6.20581623482892,-5.26493786948275,-6.32020691815985,-6.31512700990103,-6.35848142453647,-6.41247507595883,-6.4572494392345,-4.98283193282035,-5.84579523147474
-6.8309711722421,-6.78641070181404,-6.70512777508993,-6.67368876044324,-6.6600584429542,-6.59697355281948,-6.54409059286282,-6.51806420424475,-6.40077797902379,-6.39598327327315,-6.38358430668256,-6.36329397666189,-6.29553327371082,-6.25225822687897,-6.22172316607165,-5.91031736922899,-5.60780754730686,-1.0901097916943,11.8333019702973,11.1515111129964,12.2257042728729,8.91848549004494,11.6759811793375,11.3181414253675,12.0627083343137,10.6167940936019,5.58444520435856,-4.61457942372157,-5.55213840252176,-5.13448294548981,-6.06472331649788,-6.06472331649788,-5.71285434695323,-4.74162802293662,-4.87085169932445,-6.11297298021644,-5.26342793096221,-4.78264477220967,-4.81103501646181,-5.82598860568203,-6.2399237536866,-5.4698729471482,-4.81503199602414,-5.35356302066953,-6.25629836310206,-6.37616017788206,-6.42245686550639,-6.45678149991684,-5.44779786188692,-5.73504513252117
-6.81522443545978,-6.71113722219701,-6.67302297759,-6.67368876044324,-6.63520034209449,-6.54194702008472,-6.52239489926869,-6.50950468242974,-6.41867837949269,-6.3815552736805,-6.3615592370556,-6.29822900501828,-6.25610419525147,-5.92299572007478,-5.83146425409172,-5.78614387237627,-0.182291194127491,11.1489888184668,11.2673393684528,9.92921389127453,9.58179673683555,12.0123258349192,12.5440819972465,11.2622222066149,8.05490893623854,9.04110458546493,10.1989257090174,4.04199254717682,-4.12511930272935,-5.98913701609279,-6.06472331649788,-6.04844449573479,-6.1017381141883,-5.3956294257566,-4.75917374708637,-4.76939262534436,-4.77965915923652,-5.04785355354617,-5.5312945292135,-4.81512807538676,-6.22738679146764,-6.20999891488493,-6.14297732398369,-5.37829751377899,-6.2769215552183,-6.29033095338114,-6.37815481149428,-6.43743776614285,-6.45883905276636,-5.70276843072671
-6.75097223223229,-6.64039999318397,-6.5823512064618,-6.64869984504666,-6.61942911956081,-6.54302841535184,-6.50409315262632,-6.44573575875322,-6.36774736110771,-6.30351736719336,-6.22667086534282,-6.29154848323208,-6.25033524269271,-6.12482486229083,-5.88492486496048,-2.93694665983593,8.31601443900069,11.8874582310349,10.5510273782948,10.2962745391998,9.25684287516968,8.25132219063866,10.4709088220081,11.0991691066636,11.0668170205256,11.9518237996244,10.8371104046296,10.5429119224577,-0.906594018820914,-5.53246755057632,-5.35116566235742,-4.90380890746321,-5.63344451430901,-4.75032620525892,-4.7591260914522,-4.77965915923652,-4.79458722410229,-5.81362376782412,-5.42691731992986,-5.15159045813779,-4.78186655030642,-5.57852622773575,-5.23137178088414,-6.32020691815985,-6.32020691815985,-6.29034762516867,-6.35839819557076,-6.39919573367558,-6.45883905276636,-6.47851439127305
-6.75065137562273,-6.66928455034325,-6.61317977052949,-6.5804683778969,-6.53291332500969,-6.46367122689936,-6.47737167993098,-6.42512987610601,-6.38576431430324,-6.34503267964329,-6.28708158080722,-6.23593409859777,-6.23687435338894,-6.17229199435543,-5.36110408682215,1.9696326777148,9.93848483992643,7.34610395211269,8.66554486808398,8.94423287136453,6.30084080846284,8.71178939602933,16.0235789557285,14.5082573635352,13.9272327286181,19.2469051148708,17.3701191649944,16.7739708470829,1.1220010776252,-4.48583655937456,-4.55878080588123,-5.1424755525028,-5.90739238117105,-5.38395342502774,-4.94518425176278,-5.64970446960207,-5.67366561968607,-6.19294767021855,-6.19342978224635,-6.21626706140653,-4.82169205095362,-5.58999660353927,-5.23052417958712,-6.32020691815985,-5.43400671808733,-6.14703800715854,-5.68657306097932,-5.95372579872009,-6.44171802346755,-6.44008943828838
-6.73410920026085,-6.68179726901769,-6.55547197517437,-6.57469240546065,-6.49667088005899,-6.51564731687728,-6.42096301371948,-6.3754346165869,-6.361374075942,-6.2984162488143,-6.27670905400995,-6.24841225850646,-6.18177249741042,-5.91028546817587,-4.06991082753068,5.6123921041273,8.92171599992592,6.42293318030632,8.26710559542697,9.04805723825014,8.02468757177632,13.3269499917176,16.1782897869703,12.2157039249809,15.1254798019541,21.6220885685229,23.3501620776308,17.6707273344655,4.91771871410755,-0.278023187096093,-1.8125937950866,-5.26143304729927,-5.91201374264042,-6.14341738848055,-6.03000428208368,-4.81250090194121,-4.81250090194121,-5.83921681624078,-5.45862875402455,-6.28753522302752,-6.20787549902284,-6.20437604183798,-6.07095523502661,-5.34783312486222,-5.79958952491021,-4.97668329859143,-5.49859182677771,-6.30800237306477,-6.41619664149365,-6.46320188590389
-6.69220111191567,-6.64276356661577,-6.60223136148227,-6.47410896874772,-6.4955275471731,-6.4987207763364,-6.42086064491301,-6.38369614897051,-6.25286898678923,-6.02329818692201,-6.24006561729328,-6.21379854315391,-6.16864256257582,-6.11429039758467,-2.60519260157826,8.52957492714963,8.07538256327772,9.55263350145657,10.2224407491518,13.3926585772881,11.9098430233659,15.8149043002481,18.0496094607849,17.2642113839939,21.0917615370695,18.7611343954778,21.3783651933402,21.0787640364099,9.78965479465508,1.50024656586199,-0.988642886748461,-5.09007565212536,-5.90081056050968,-5.62316411315729,-5.39449967463581,-5.36609973322253,-5.72974002046633,-6.00569998424452,-6.05563899164419,-5.55620992561388,-5.17823296631689,-5.44898428458798,-5.0800819109703,-4.5073798315747,-4.82817817614644,-5.10683855824359,-6.25835401359867,-6.29345644581477,-6.39495551684446,-6.44599828079225
