"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
-16.2877491207158,-16.3369342144207,-16.7000793408485,-16.8027121313166,-15.8271644882492,-15.2614641679296,-15.7285863084921,-15.4170455129022,-16.2093779674536,-16.1663870083141,-15.1740887041918,-15.9896914245979,-15.8945665197462,-15.8025239432856,-15.6827072316738,-15.6037969903254,-15.5503626808409,-15.5212166938494,-15.4687586107728,-15.3927695521039,-15.3098900466071,-14.1564140849345,-14.1653580351811,-14.0822978047331,-14.93310165238,-14.0223640492449,-14.0010117964537,-14.4663733288675,-14.4897479690354,-14.1213366647661,-14.1647934230303,-14.1734847746832,-14.2354077095996,-14.4697407028984,-14.6023730089391,-14.4034245498781,-14.4034245498781,-14.3736191281305,-14.7655362890963,-14.5906848455225,-13.5951032035718,-13.4795976934734,-14.4690415591118,-15.1335279191566,-14.4282023851268,-15.2127202708385,-15.1879938000396,-15.4455610464563,-15.6015063671771,-15.6890398249443
-17.1865499396604,-16.2105336855577,-15.5250983927525,-15.8330226505227,-16.6159511457981,-16.5133537702887,-16.3954970421407,-16.2419263450457,-16.1904931332707,-16.1371597909571,-15.1080557851359,-15.9146089101531,-15.8530660220623,-15.7026691612854,-15.6209303420134,-15.5309320228466,-15.4829517825822,-15.3879993847518,-15.2925861948119,-15.2194151145205,-14.3136674655461,-9.76125188021181,-8.61374821900882,-11.9441215108488,-14.6673779801728,-13.9479638948793,-14.1915536357363,-15.4337362004945,-14.4286069271371,-14.0351754009195,-14.0693390053854,-14.0952626098075,-14.27223906128,-14.5628421691502,-14.5834053210379,-14.4892696076025,-14.2707922438375,-14.3419750969698,-14.5430066901342,-14.6559098832113,-14.770245590238,-14.1587608461227,-13.6702539316049,-13.7516632512894,-13.62661434791,-14.8439179520868,-15.1065374272992,-15.0094730957715,-14.8913441298966,-14.0959007709595
-16.0500460773169,-16.2044269335809,-15.4317359175295,-15.74966332956,-16.5527068743248,-16.4625017078029,-16.3020179377142,-15.2631680217166,-15.2106008329638,-15.374497325923,-15.6636313995801,-16.1397154772086,-15.812595175976,-15.5944299138888,-16.3856710630799,-16.0000174930705,-15.3785372702122,-15.2575725512464,-14.9528195176557,-9.35530271672439,1.00540491589934,10.4044392356886,12.9578088604741,9.58182929877868,1.57293025213978,-8.46371534828536,-14.1217426873856,-15.3494556161094,-14.3936943849702,-13.9924708953373,-14.0180935986866,-14.0607981042689,-14.1165794236807,-14.0958246256029,-14.1368720569926,-14.403911443409,-14.2044462421414,-14.2663691770578,-14.275294954074,-14.3563437383306,-14.3518410280941,-13.9415915744287,-13.6392273295661,-13.6837649800206,-13.8244939918515,-13.6166575681731,-14.3540516765464,-15.0779420914672,-14.1372422240677,-14.2949116052962
-16.6356211337614,-16.2777688757924,-15.5613415664231,-15.7122998423961,-16.5527068743248,-16.3957134452171,-15.6427288510847,-15.8346702282007,-16.0705728249629,-15.9353147238728,-15.8864017531115,-16.5066955423332,-16.4392238673629,-15.5698810227973,-15.5163590293508,-16.729934220141,-16.5861263572139,-15.0917133617569,-5.15920972956035,9.14252936140295,9.14144447751572,5.66780330356141,7.27599444889168,12.3684610871549,9.37984263216837,2.54480493120016,-10.8845360866331,-15.2619297242921,-15.1207058432952,-15.2392875698199,-13.9839299942208,-13.9839299942208,-14.3217957264997,-14.0266344998031,-14.0763988269219,-14.3240402840089,-14.1734847746832,-14.5390101881553,-14.4787461233714,-14.2978085052564,-14.0444768692628,-13.1937400909619,-14.5562260568507,-14.5734359533529,-13.8395148187519,-13.5185466261265,-14.161166957071,-14.8896455303918,-14.0691451721799,-14.0197156217991
-16.9430392253499,-16.8324524672062,-16.6307301534711,-16.5527068743248,-16.5188799368791,-16.3623193139242,-16.2310768858484,-16.1664856856481,-15.0652631536407,-15.8635090854022,-15.8327376413567,-15.7823814779048,-15.6142137910187,-15.5068141017026,-15.4310320758051,-16.5750745480335,-16.3179554778038,-8.74138140603344,4.63696579678635,7.00200754293668,6.48942001559131,4.38933471341814,6.03505161747614,5.15787250597249,7.7276853091409,7.64950960151737,0.328108582419574,-14.1793202131708,-14.0715974737159,-15.1284518554117,-13.9839299942208,-13.9839299942208,-14.1246820744608,-14.4198433011575,-14.404705155361,-14.0952626098075,-14.3686748955049,-14.5446699400754,-14.6310699434935,-14.402152232059,-14.3881906589571,-13.969428181185,-13.5950224641767,-13.5299857403683,-13.3011449542739,-14.599612559081,-14.8093659704416,-14.8885657950174,-15.2631505454975,-15.266814340801
-16.903960210637,-16.0125519087865,-16.3400238643687,-16.5527068743248,-16.4571884895099,-16.2257570480204,-16.177233425433,-16.1452429835703,-15.9198332430054,-15.8277020250115,-15.7780762189923,-15.6209040401995,-15.5163590293508,-17.1178071245839,-17.1070536338424,-16.8486918685071,-8.75165482946504,5.9960475533159,7.79710841931342,5.33874071694194,7.02962000734945,7.02585588750674,4.72171797335677,5.45202180506546,4.60964507863382,3.72033596737143,4.15285105229407,-3.66856894396977,-14.0930847517568,-14.9014242234939,-13.9839299942208,-13.9463676323228,-14.0693390053854,-14.9165195261201,-14.6560326314974,-14.5043395974908,-14.535583825538,-14.523784359742,-13.8698185263577,-14.3611995742773,-14.0559386129609,-13.2026390342881,-14.1888056571301,-13.9958177777281,-13.7582298879733,-13.5816381703901,-14.7071442342338,-14.8439325477922,-14.8933133725788,-15.1846411281079
-16.4267230107466,-15.3122399503273,-15.2836918309181,-16.490690822341,-16.4180483337711,-16.2284408106084,-16.1318128719571,-15.9869834993271,-15.4931470288886,-14.534926546932,-15.6781064070494,-15.6043243860587,-15.5020416378786,-15.6719668709098,-16.2920878556788,-11.7189252595472,3.51164973775886,5.17285018664684,3.04773184262211,3.60757432989951,4.34518557023709,6.23049600074142,5.40869261491331,3.82584100934071,2.2569105944226,4.05683368985096,8.70890745399571,5.07044097354523,-8.51392023149687,-14.1127511112198,-14.7250808269975,-14.6907489153747,-13.941447593299,-14.4463146025461,-14.4730953694437,-14.535583825538,-14.5810143982249,-14.370266473368,-13.9399415333158,-13.3727184613173,-13.5013118455794,-13.3835556435776,-13.6803848768161,-14.5734359533529,-14.5734359533529,-13.6849755242395,-14.6615580870358,-14.7556936863581,-14.8933133725788,-14.9387116419232
-16.7437075951583,-15.9127027086974,-16.089204698682,-15.5939355551007,-15.4826544712771,-15.1098772132082,-16.0654965081116,-15.9358443160077,-15.8381478895337,-15.7370609307981,-14.6980914434007,-14.7763342783248,-15.46863439111,-15.308353542752,-15.0852603456473,-4.50504573678837,6.77455585704523,2.36412794970618,1.51550204297408,2.18024235728082,1.26397872820246,4.09750680450968,6.03771355495609,5.52679514670337,4.40277561972487,8.80039077965979,12.4821028801809,11.7380378475911,-3.05120718123217,-9.82460844192573,-11.9047010660036,-13.9327015111259,-13.6208922992156,-14.3270654483198,-15.3642257982233,-14.3051571568122,-14.360445491559,-14.2797976643105,-13.7764384804553,-13.2385723550507,-13.6138407305671,-13.4131490984672,-13.6808064981301,-14.5734359533529,-14.8298012259134,-13.4777501178322,-14.150533507219,-13.8979067483477,-14.8538087127496,-14.2200133787709
-16.7026543910485,-16.5728300516118,-15.4310859694021,-16.30702310023,-15.3959508960264,-16.0581066771877,-15.4213528418327,-15.5108845367374,-15.7776166652134,-15.6213687618235,-15.567496032529,-15.4972691740545,-15.3318823129663,-15.0492903878501,-13.4541576857326,-0.46799853471234,4.3536767588672,1.48364884629011,3.95407322106679,1.31829271706317,2.61795255955289,5.60909155632927,8.12129955713415,7.594402189667,7.17707410999784,13.3375954943167,16.0579842302865,10.3031416840826,9.03989083834267,20.173087250193,6.98955264623918,-13.5622042294734,-13.9250648467509,-14.6547227915744,-14.2257284146295,-14.6355310854492,-14.6355310854492,-14.4337934660595,-14.0248436728649,-13.5760830250005,-14.3142387417627,-14.3061630035664,-14.0461449459594,-13.5752817613994,-14.28566843736,-13.7530232235068,-13.5359271036323,-13.4111490334421,-14.7949212219667,-14.9033800424534
-16.2845240996672,-15.9524161372329,-16.272606419388,-14.9285467171399,-15.7010315906894,-16.1184799166385,-15.9252490935469,-15.833015169455,-16.2239410828102,-16.7768633736235,-15.2803474134275,-15.411364825221,-15.2992963078671,-15.2954214126473,-11.4849311490298,0.531198881412376,5.27429548752173,2.9740254054563,3.17696496558361,6.67779974718198,4.98143044721213,9.69473275862473,10.4659926350518,6.61433521471768,11.2803415857451,11.7243320554084,12.3948509109436,11.7426539886432,11.9721771983746,29.9974435404198,15.8501902176087,-13.5864820012964,-14.2146673073995,-12.4347467541356,-12.7814366388941,-13.4411425328557,-13.5640311567365,-13.2807055549679,-13.3843125345161,-12.2296486437682,-10.3892160861858,-10.6876275019723,-10.2853984049411,-11.1942659541363,-13.6321672147345,-13.6247599604403,-13.3055185061041,-13.3802015289241,-14.7459098961411,-14.8636848777069
