"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
-8.44110505069991,-8.41111352224696,-8.40208533081489,-8.36655064736195,-8.32542017738115,-8.35806813378985,-8.71344777644406,-8.67874759393755,-9.35818200774534,-9.34957970863735,-9.33894955461331,-9.3081221079436,-9.30549469025187,-9.30286727256015,-9.02501054309242,-9.01179194517379,-8.98547504960626,-8.98547504960626,-8.9693364414714,-8.9693364414714,-8.96809670983362,-5.38369098943665,0.360231304214689,-3.56800332098466,-0.788793081667089,-7.22844774749638,0.336394080517785,-7.70598691631605,-0.0582039599970933,0.675812254915656,-0.157405683030809,-0.356173289106658,-1.71209940332359,-6.80315110971978,-9.34004916231362,-9.3571253003789,-9.34957970863735,-9.35818200774534,-9.36658504245156,-9.36958884877156,-8.32059163912592,-8.3577363438283,-8.18043293387051,-2.61355324830605,-3.18080145390185,-7.79272940318302,-7.84564048168505,-4.02090704485311,-8.12045891840575,-8.63009921682955
-8.42709797176682,-8.40010796022811,-8.38033425436034,-8.33909940758326,-8.34860257470114,-8.34453773025732,-8.66417286199033,-9.19124442857226,-9.34640271075585,-9.32619336978446,-9.31239826620464,-9.17292129208122,-9.28552631579475,-9.14091947123578,-9.00263091362597,-8.9834577235894,-8.9693364414714,-8.96884054881629,-8.96734161905215,-8.96734161905215,-8.95462884555399,-4.75274885436725,0.360702338424681,-3.83442568417235,-2.82575489196178,-10.446786103111,-8.36983364289337,-11.8022418112993,0.373234463417705,0.908666328968595,0.194062637034764,-0.264961312835188,-2.11524479310028,-6.64511134466854,-9.31438432882895,-9.34536446298602,-9.3495858446304,-9.35388085819135,-9.35790417747955,-9.37017695735006,-8.30709449245231,-8.34399354500752,-8.15656529826274,-2.76039882590651,-2.66926465197271,-7.51643844214439,-8.66721038721674,-3.34423549977998,-8.05184285803202,-8.18283928921221
-8.40208533081489,-8.38233047075756,-8.34984737417063,-8.34299984621661,-8.53685832874539,-8.88209275936743,-9.02645742417618,-9.34643975037452,-9.32595020654457,-9.3081221079436,-9.21186668821294,-9.21149268608892,-9.13426937502298,-9.03431610793636,-8.97136501928706,-8.9693364414714,-8.96835028206057,-8.95388500657132,-8.94938821727891,-8.94240633881153,-8.94192895404493,-3.98749342610854,0.309385590288099,-3.86078707141713,-12.7029681360059,-12.1091886994564,-6.85188837343348,-4.02923964457297,0.408082221451941,0.406307932108059,-0.84231241933676,-0.80744114603853,-2.57560052755697,-6.54041307387695,-9.30631763256924,-9.31450020035802,-9.33618658340543,-9.34957970863735,-9.34957970863735,-9.36248315729934,-8.65998417370528,-8.33519105609695,-8.27105125289456,-2.96521669623176,-3.19581913609571,-7.26464625704151,-8.56118411322154,-4.73401413503176,-6.65223979314712,-8.33005140036271
-8.38626636612067,-8.35670293572667,-8.33142002777715,-8.54811138155688,-8.88628708774366,-9.35495614557984,-9.34110615355317,-9.31024813874841,-9.31052744696543,-9.29971437133007,-9.16680118408049,-9.19463191518191,-8.98043173456411,-8.97236243049668,-8.9693533191696,-8.9613571517944,-8.94839080606928,-8.93442704913454,-8.91959849824839,-9.04668545212152,-9.08901060304647,-3.20726299695104,0.313370159444381,-2.41069070178277,-3.54391349193655,-0.278353835103139,0.310626821998957,0.31743304783998,-0.907075353009583,-0.368245975200409,-1.07237651681599,-1.47633269097929,-2.57716503951613,-5.64608200295164,-9.2930833335919,-9.30629485483025,-9.30932101235273,-9.31238621787893,-9.34639668659299,-9.34957970863735,-9.08834415177257,-8.42911545601815,-8.36189475830947,-3.15152884433264,-3.35919634552174,-7.0315650046252,-8.50019777220778,-5.97546112243705,-5.33514792758798,-7.91631625879808
-8.36580577256266,-8.33058421949858,-8.4135017035359,-9.04223664929351,-9.35173028341435,-9.33894955461331,-9.31504978054779,-9.30391823963684,-9.28051788860234,-9.25045091591601,-9.22764788202716,-9.0515456357453,-8.96846646952252,-8.96887149126299,-8.99968432232244,-8.98471061987417,-8.96268728485904,-8.95335251035396,-8.94692195904483,-9.31763720617486,-9.32387699584886,-2.41521326843517,0.425426769618435,0.671686047049695,-0.879706865301631,-5.07733907748054,-7.60420996617606,-3.49005475619328,0.264822449785959,-1.19552735680873,0.265691754502797,-0.608689042007663,-2.9783892419304,-5.69599027400191,-9.29340856886993,-9.30524388775355,-9.30391823963684,-9.30919717167172,-9.31878238278192,-9.33684806778069,-9.33976592120508,-8.70267427510957,-8.36477169734963,-3.25668550729593,-3.14962529707705,-6.76952542451309,-8.48010683560086,-7.56363630876265,-4.26740869089583,-7.2527965769662
-8.35546977547485,-8.33450853157789,-9.3599684886423,-9.35603143296834,-9.3368235238085,-9.3171758113526,-9.30181630548345,-9.28606362954909,-9.15539876613054,-8.98347777363436,-8.9693364414714,-8.9693364414714,-8.94529323605603,-8.94440116123078,-9.59723733110786,-9.57061222090966,-9.56330985542354,-9.56278103221422,-9.55484868407446,-9.11027093379455,-9.0853320733185,-1.58675525704767,0.653868336369122,-2.942910085802,-12.3805244996277,-13.2491479836153,-10.78234083601,-9.84919782212252,-0.173322761379278,-0.491281289923912,-1.18355770400811,-0.632428608023511,-1.92821711547488,-6.24380278496269,-9.27030503850672,-9.28184793102633,-9.28920470056316,-9.30496920671353,-9.30553083522901,-9.30972566729149,-9.34320161622292,-9.35947527812104,-8.34943998687928,-3.62487312524568,-3.15184802939996,-6.26926154665161,-8.39615321905456,-8.35676234263507,-3.69214843985402,-7.8704739688023
-9.2367709417846,-9.23349443901726,-9.35132648001424,-9.34854123720713,-9.31876431029335,-9.30445577150089,-9.26822084967733,-9.24739079159942,-8.99774059958201,-8.9693364414714,-8.96434938542327,-8.93642187155379,-8.9245192456674,-9.27181945078777,-9.56066573937695,-9.55484868407446,-9.55384331999507,-9.54624035414282,-9.53916967669472,-9.46897096553899,-9.37405472410238,-1.04101905318586,0.373725628127176,-3.26732578236146,-4.62237512417951,-1.13596172619036,0.21112554346395,-6.9886161669104,-0.181999187214468,-0.17570235887244,0.192185895890254,-0.852315162451685,-1.93413932507564,-6.31619437975733,-9.25570980159299,-9.25258647590291,-9.26402585403256,-9.28079696394964,-9.30235383734751,-9.30865662772623,-9.31963276996148,-9.31953430448638,-8.39995416521161,-3.76061969971621,-3.13440882288778,-6.27302443738132,-8.37249435654409,-8.53610224077731,-5.20253321721845,-6.99871621069071
-9.40044741058844,-9.36963037632936,-9.34957970863735,-9.31875226196764,-9.30078943505819,-9.28197806340227,-9.18422575880495,-9.06828706182297,-8.97035635627863,-8.9543973762034,-8.93254314181837,-8.91860108703877,-9.03287641532136,-9.46909706339619,-9.55749280012105,-9.53811223413806,-9.52974400916985,-9.5164656496094,-9.51405358735447,-9.51497456917819,-9.35820642527336,-0.436392849534544,0.326920902147567,0.694612313508708,0.769925050168252,0.186978832104168,-0.663193677397924,-8.40676151224069,0.177381470685103,0.716239366433567,0.147897635119871,-0.571287722574265,-2.5929227010781,-5.60170210102667,-9.24012845105869,-9.23180373868898,-9.23701421076245,-9.26713439195265,-9.27238922733611,-9.29130663471655,-9.30755596121134,-9.3046613521521,-8.92405253147887,-4.24524330168337,-3.39431716179539,-6.1203574475834,-8.34985897159244,-8.55341549309122,-6.21711439915964,-5.50824136472816
-9.38076304290382,-9.35174883476259,-9.3325835105246,-9.31027223539983,-9.28394986517971,-9.25258647590291,-9.1408508500808,-8.95737875875471,-8.99610340286114,-8.92454687426286,-8.89593124282448,-9.06193842727773,-9.10769900289295,-9.54961854346934,-9.53079003729088,-9.51405358735447,-9.51146705314099,-9.51405358735447,-9.50888051892751,-9.51405358735447,-8.9939302170664,-0.164852008004333,0.252618676331406,-0.756855760589602,-7.40954054242444,-11.948082000856,-12.9037455359352,-8.85152072985699,0.396019672574498,0.545637090907643,0.0442316833006901,-0.128510757260547,-0.23391319201186,-4.82608759318391,-9.21898929384897,-9.2266080543855,-9.2266080543855,-9.2266080543855,-9.24842992846012,-9.27554212856618,-9.3081221079436,-9.3136822681551,-9.181410960419,-4.46718256516003,-3.42731259634856,-6.10906407146485,-8.33323688035379,-8.52936618670042,-7.81674690533682,-4.46440561884153
-9.36143287266414,-9.33898651394069,-9.31131115415081,-9.30602017379022,-9.25468841005629,-9.22873279804346,-9.135814629137,-8.93145691838204,-8.99199449699139,-8.92990862310922,-8.99185874940854,-9.34487010593728,-9.14961828190417,-9.52032975608062,-9.51405358735447,-9.50166065402266,-9.49597027875301,-9.49957460348221,-9.47991133573656,-9.50163822312977,-8.39420644854833,-0.123504468021896,0.132392270802507,-5.29724212786074,-10.3886982873978,-6.41454981439755,-3.95208498754693,-0.718069344481822,0.3989816181932,0.493584232816894,0.0933310868187069,-0.0491222622233927,0.146587006604807,-3.05147179720245,-9.16490417594946,-9.20400262810132,-9.21223440059789,-9.2266080543855,-9.239092271752,-9.2546647496243,-9.2944950265946,-9.29563563776933,-9.15745814771204,-4.48907967933959,-2.56863381092132,-5.83514056081543,-8.32350014229959,-8.60356672418964,-8.51426190488152,-4.19387878242525
