"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
-25.1708825878241,-25.0814070894269,-25.0544727623657,-24.9484598983222,-24.8257526669316,-25.4538627704891,-25.6306395600815,-25.5270913304746,-25.2756981888004,-25.2524531160683,-25.2237283532017,-25.1404265408884,-25.1333267339451,-25.1262269270019,-26.4776992858508,-26.4389005661706,-26.3616561914814,-26.3616561914814,-26.3142867311521,-26.3142867311521,-26.3106479092312,-16.2167077652384,0.330557306054435,-13.759542244166,-5.34109293566538,-23.9865336125697,0.432250849429213,-25.1675681560995,0.607504434585499,0.795489454035602,-0.436423810888959,-2.72488881703947,-7.49508702126169,-20.1676075078163,-25.2266996986074,-25.2728427562492,-25.2524531160683,-25.2756981888004,-25.0267273599802,-24.4896925961007,-24.8113473499865,-24.922163608133,-23.8453053084926,-5.70988657998079,-3.86655084301987,-22.352913155419,-21.1557064589475,-5.67511555723274,-22.9053817672704,-23.3279135786021
-25.1290944453518,-25.048573548913,-24.9895814143859,-24.8665628224057,-25.3031521582747,-25.4123938482707,-25.4862696124412,-25.3049708174375,-25.2438682407177,-25.1892586377617,-25.1519815530538,-25.8555138476429,-25.0793682011767,-25.7647662053594,-26.4120114619863,-26.3557350089402,-26.3142867311521,-26.3128312023837,-26.3084315935894,-26.3084315935894,-26.2711174750605,-13.9798281350583,0.325846420650258,-14.0136526985127,-11.9468546144703,-33.7296772844234,-27.2833082873267,-36.8601015498396,0.732126517151453,0.653392340401803,-0.945371039070683,-3.95709434986021,-8.67229328518175,-20.3045649002884,-25.1843708279798,-25.2410626843362,-25.2524696949707,-25.2640756524344,-25.2122750309915,-25.1200936589789,-24.7710803579725,-24.8811638246479,-24.441474633012,-5.96906219087025,-4.01550333771246,-21.1646300220281,-23.5761815008612,-5.59733010221841,-20.861174741629,-23.0563371600654
-25.0544727623657,-24.9955368457228,-24.8986279445638,-25.1639657996164,-25.5126741248901,-25.3127576809747,-25.3400547142576,-25.2439683184277,-25.1886015565201,-25.1404265408884,-25.6362478104764,-25.5273805702461,-25.8005984482312,-26.1729045532042,-26.3202409361825,-26.3142867311521,-26.31139218486,-26.2689341819079,-26.2557353555249,-26.2352423740554,-26.1378187920618,-11.6661834335121,0.745593592207852,-14.200030910332,-40.9217209917718,-38.9191589241843,-22.1196996039376,-14.6431203996929,-1.34310190938975,-0.129290826639947,-4.91696354757136,-4.27523459031457,-9.3321965150504,-19.2651618460941,-25.1760843099875,-25.1576613986084,-25.2162622547885,-25.2524531160683,-25.2524531160683,-25.2873207251665,-24.5909271965379,-24.8549027779845,-24.6999285216519,-6.51847304856775,-3.78233723626031,-19.6466732707477,-24.1903471393932,-10.4948706619988,-16.6454285384566,-22.8481093650324
-25.007279054744,-24.9190805912798,-24.9253000016611,-25.396903732338,-25.4484921789458,-25.2669812865259,-25.2295558981394,-25.1461714934617,-25.1469262352314,-25.1177071586701,-25.7312436793758,-25.262333179725,-26.3468532351285,-26.3231685049638,-26.3143362648859,-26.2908661809012,-26.2528077867435,-26.2118218238045,-26.1682975057515,-26.0654285991354,-25.9990938854769,-9.41968349224151,1.02862232100598,-9.81821707323935,-13.4153612126795,-1.40199209844666,1.20165268792787,-0.741327199747834,-5.06135733258489,-6.30987844433598,-8.1303001191009,-6.54926277712634,-9.54177982093318,-17.4397613472074,-25.153625938668,-25.1354889348882,-25.1436662150882,-25.1519489995444,-25.243851963963,-25.2524531160683,-24.6259007413551,-24.7820493636402,-24.9315970248268,-7.11462763137738,-3.66400298802904,-18.09468270694,-24.598157172389,-16.0091030565659,-10.7992374814167,-21.54689367645
-24.9666495745334,-24.8615707922588,-25.0880999399312,-25.3870071595607,-25.2582643842514,-25.2237283532017,-25.1591464670158,-25.1290668497792,-25.1194069101347,-25.1457755385706,-25.083686491014,-25.8942728256843,-26.3117332170865,-26.3129220142291,-26.2238737979022,-26.1804068101281,-26.1163113980458,-26.0887838309961,-26.0700374704848,-25.8494502687034,-25.8193179154208,-7.34549875837547,0.972461072433438,-0.640162238121707,-4.4479046531564,-17.4754406606016,-24.1275435360886,-14.3614624416039,-0.617599283436443,-4.07890089785703,-2.18174267728642,-5.53053972951657,-11.1762134211499,-16.6416101740321,-25.1006676220063,-25.1326490121109,-25.1290668497792,-25.1433315706844,-25.1692326875285,-25.218049716238,-24.9763698085488,-24.6508791797529,-24.8345992982605,-8.0738520009284,-4.25741235803485,-16.3826979750763,-24.5980551404741,-21.5324463611267,-5.27001717402001,-20.3759047536803
-25.1807562566687,-25.118084138857,-24.7372633511838,-25.2698869206174,-25.2179834006283,-25.1648914195891,-25.1233870042247,-25.0808201267761,-25.4241797759691,-26.3557938530521,-26.3142867311521,-26.3142867311521,-26.2437158946283,-26.2410975116181,-25.8270224869793,-25.755338442816,-25.7356779433911,-25.7342541673501,-25.7128975267344,-25.9546310668448,-25.9778265315542,-4.81983385480712,0.970852114948243,-11.3767955364399,-39.0568042354326,-40.831754657912,-34.5248996272855,-32.6317493993975,-1.62822279887903,-3.16155172198328,-2.76464069834575,-5.18493031448462,-8.74657552642,-18.671390911493,-25.0382372672222,-25.0694284714562,-25.0893079308972,-25.1319067725565,-25.1334243944733,-25.1447596704504,-25.2352182583483,-24.7349404095963,-24.8581862862975,-8.91720265974125,-3.89171449755275,-15.2317152613843,-25.0367751220076,-23.9326146092348,-4.42773559020002,-20.1593110910018
-24.8875870192853,-25.339693790351,-25.1737975364713,-25.2496469553913,-25.1691838572644,-25.1305193646772,-25.0326053679839,-24.9763183398111,-26.1772204713681,-26.3142867311521,-26.2996488872453,-26.2176769613672,-26.1827407428246,-25.8934263922336,-25.7285590631859,-25.7128975267344,-25.7101907222478,-25.689720875153,-25.6706841326013,-25.7031212318922,-25.5112580155302,-3.07020065726019,0.764586314463747,-11.821177589249,-15.8791653923496,-3.77559836828853,-1.12130151285957,-24.5946040875831,-2.6572886864442,-1.39610883143256,-1.18165484272147,-5.33742576555459,-7.61079268215828,-18.6471162418765,-24.9987979904483,-24.9903581326435,-25.0212696500328,-25.0665885486789,-25.1248395191227,-25.141870917409,-24.9427631385865,-24.4005989845303,-24.7570605491626,-9.78657032030478,-3.98649210422788,-14.1042956068917,-24.9661921343015,-24.1448282303347,-10.0568992752703,-15.3407653761001
-25.1800508994737,-25.3066338839893,-25.2524531160683,-25.169151303755,-25.1206121884661,-25.0697800777751,-25.2342136387967,-25.7780838224327,-26.3172803449119,-26.2704380683763,-26.2062922069985,-26.1653699369702,-26.0248967188083,-25.758819901072,-25.7200164069396,-25.6678371293161,-25.6453069306069,-25.609556909703,-25.6030628080272,-25.6055424127343,-24.8559648708877,-1.15100490956626,0.65628292915398,0.126237249823559,1.28685634045538,-2.38426861789399,-6.76471993425492,-29.1221017261452,-1.11674026451163,0.0566785818894288,-1.23100749887485,-2.21177073791694,-6.94495879878188,-16.5784259761284,-24.956694019288,-24.9341989613139,-24.9482787094098,-25.0296695525741,-25.0438691664606,-25.0949877764518,-25.0349114873694,-24.4863622559457,-24.3904141413975,-10.4333084965689,-4.28764307793787,-13.2740710617234,-24.8986625401849,-24.0517763814361,-15.920579943591,-10.0702193696418
-25.3367165047222,-25.2583145083194,-25.206526048991,-25.1462366004804,-25.0751083170107,-24.9903581326435,-25.3848683560384,-26.279188928265,-25.8441529394375,-26.1828218290053,-26.0988300692457,-25.9912259814224,-25.9483520084684,-25.6988161525412,-25.6481232054455,-25.6030628080272,-25.5960989420471,-25.6030628080272,-25.589135076067,-25.6030628080272,-24.0797911892496,-0.710012581070636,0.463044111425238,-5.45545243124451,-26.0889095401458,-38.3675402494404,-40.2490819652362,-28.2702539356641,0.844080023384354,0.762832848041745,-0.83622890404038,0.425359134301707,-0.567817694823483,-14.4579698085224,-24.9392493360867,-24.9201591684816,-24.9201591684816,-24.9201591684816,-24.9791262983776,-25.0523889347924,-25.1404265408884,-24.6147280728828,-24.3625064248223,-11.2903557957834,-4.55777463653107,-12.4397990144962,-24.8490727557739,-23.9493887073665,-20.881421461678,-4.77917379644743
-25.2844826462393,-25.223828213977,-25.1490439697484,-25.1347466953338,-24.9960379781981,-24.9259006433836,-25.3705649459182,-26.203103986405,-25.9325997055847,-26.0795867820209,-26.0239835634262,-25.7565123424072,-25.8359867507617,-25.6199604570591,-25.6030628080272,-25.5696966368572,-25.554376131701,-25.5640802549223,-25.5111397770901,-25.5696362513228,-22.6770098183167,-0.897212074189964,0.218251312434991,-17.727142686878,-33.1463077814213,-21.7817782228648,-14.3108921801168,-3.56036844352695,1.64212918090775,1.15457628180459,-0.8419128503258,-0.442809874075394,-0.515455457397092,-8.11334458117233,-24.9041160135085,-24.8590746477488,-24.8813185901848,-24.9201591684816,-24.9538940517742,-24.9959740497764,-25.1036034374161,-24.5668893030891,-24.3698494180232,-11.7456884839673,-4.93738002573651,-12.5704867834238,-24.8200244878698,-24.0435728403142,-23.4747430606259,-4.50281141176395
